neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,square_feet,price,cleaning_fee,review_scores_rating
,37.759955138352105,-122.42410641814494,House,Entire home/apt,6,1.0,3.0,3.0,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",,$325.00,$150.00,91.0
Mission District,37.75870166523213,-122.42124003051887,House,Private room,3,1.0,1.0,2.0,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",Iron}",,$119.00,$60.00,95.0
,37.76147948623888,-122.41571353188469,Apartment,Private room,2,1.0,1.0,1.0,"{TV,""Wireless Internet"",Heating}",,$134.00,,100.0
Mission District,37.75939066340097,-122.42116735753423,Apartment,Entire home/apt,6,2.0,3.0,3.0,"{""Wireless Internet"",Kitchen,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",,$490.00,$150.00,100.0
Mission District,37.749617823996026,-122.4181314197398,Apartment,Private room,2,1.0,1.0,1.0,"{TV,""Wireless Internet"",Kitchen,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials}",,$140.00,$25.00,100.0
Mission District,37.759585813647796,-122.41000109683405,House,Entire home/apt,2,1.0,1.0,1.0,"{TV,""Wireless Internet"",Kitchen,""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$185.00,$95.00,94.0
Mission District,37.75560550525029,-122.40671929926322,Apartment,Entire home/apt,3,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace""}",,$550.00,$90.00,
Mission District,37.75052129599319,-122.40735678108759,House,Private room,2,1.0,1.0,1.0,"{""Cable TV"",""Wireless Internet"",Kitchen,Heating,Essentials,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance""}",,$113.00,$25.00,97.0
Mission District,37.76832742785572,-122.42505707071774,Apartment,Private room,2,1.0,1.0,1.0,"{Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}",,$115.00,$82.00,
Mission District,37.76888719167491,-122.42405987916307,Apartment,Entire home/apt,2,1.0,0.0,1.0,"{Internet,""Wireless Internet"",Kitchen,""Smoke detector"",Essentials}",,$155.00,$30.00,96.0
Mission District,37.75134305657279,-122.42265006283216,Apartment,Private room,1,1.0,1.0,1.0,"{TV,""Wireless Internet"",""Smoke detector"",""Carbon monoxide detector"",Essentials,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$45.00,$50.00,
Mission District,37.755069551371655,-122.41681709924057,Apartment,Private room,2,1.5,1.0,1.0,"{TV,""Wireless Internet"",Kitchen,Breakfast,""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo}",,$169.00,$60.00,98.0
Mission District,37.762206498477674,-122.41989540417707,Condominium,Private room,1,1.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",Kitchen,Breakfast,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$186.00,$65.00,100.0
